year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel,country,vehicle_id
2013,Chevrolet,Cruze,Aurora,8888,110297,Sedan,White/Black,Black,4,5,Automatic,FWD,1.4,4,Gasoline,USA,48
2012,Ford,Fusion,Aurora,6395,140100,Sedan,Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,USA,49
2016,Toyota,Highlander,Aurora,29988,99371,SUV,Gray,Black,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,50
2018,Volkswagen,Atlas,Aurora,37994,38446,SUV,Black,Black,4,5,Automatic,AWD,3.6,6,Gasoline,Germany,51
2019,Hyundai,Santa,Aurora,27988,27949,SUV,Red,Black,4,7,Automatic,AWD,2.4,4,Gasoline,Korea,52
2019,Hyundai,Santa,Aurora,36499,5554,SUV,Black,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,53
2017,Hyundai,Elantra,Aurora,15588,24633,Sedan,Blue,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,54
2017,Hyundai,Elantra,Aurora,12999,74540,Sedan,Silver,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,55
2007,Toyota,Sequoia,Aurora,10495,237400,SUV,Black,Gray,4,8,Automatic,4x4,0.0,4,Gasoline,Japan,56
2019,Toyota,Camry,Aurora,24873,32003,Sedan,Gray,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,57
2016,Toyota,Prius,Aurora,18688,92414,Sedan,White/Black,Black,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,58
2013,BMW,7,Aurora,19885,169300,Sedan,Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Germany,59
2017,Honda,Civic,Aurora,15999,66648,Sedan,Black,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Japan,60
2019,Ram,1500,Aurora,52888,48208,Truck,Black,Black,4,5,Automatic,4x4,5.7,8,Gasoline,USA,61
2019,Acura,RDX,Aurora,43777,13387,SUV,Black,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Japan,62
2019,Acura,RDX,Aurora,41988,38089,SUV,Black,Red,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,63
2019,Toyota,Camry,Aurora,22500,32122,Sedan,White,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,64
2016,Toyota,Corolla,Aurora,13777,30011,Sedan,Gray,Black,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,65
2016,Toyota,RAV4,Aurora,17888,97220,SUV,White,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,66
2016,Toyota,RAV4,Aurora,25998,65395,SUV,Gray,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,67
2016,Hyundai,Tucson,Aurora,16888,132008,SUV,Brown,Black,4,5,Automatic,AWD,1.6,4,Gasoline,Korea,68
2019,Toyota,Highlander,Aurora,46994,12042,SUV,Black,Black,4,8,Automatic,AWD,3.5,6,Gasoline,Japan,69
2016,Honda,Pilot,Aurora,30998,58962,SUV,Silver,Black,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,70
2016,Nissan,Rogue,Aurora,15588,47587,SUV,Gray,Black,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,71
2009,Kia,Spectra,Aurora,2495,203637,Sedan,Silver,Gray,4,5,Automatic,FWD,0.0,4,Gasoline,Korea,72
2016,Toyota,Camry,Aurora,16388,46656,Sedan,White/Black,Gray,4,5,Automatic,FWD,2.5,4,Gasoline,Japan,73
2016,Acura,RDX,Aurora,22688,77555,SUV,White,Black,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,74
2017,Toyota,Tacoma,Aurora,34988,78638,Truck,White,Gray,4,5,Automatic,4x4,3.5,6,Gasoline,Japan,75
2019,Acura,TLX,Aurora,38988,22726,Sedan,White,Red,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,76
2019,Jeep,Grand,Aurora,36500,33277,SUV,Black,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,77
2011,Nissan,Maxima,Aurora,6995,257100,Sedan,White/Black,Black,4,5,Automatic,F4A,0.0,4,Gasoline,Japan,78
2011,Volvo,C70,Aurora,10495,179110,Convertible,Black,Black,2,4,Automatic,FWD,0.0,4,Gasoline,Sweden,79
2020,Hyundai,Elantra,Aurora,17988,12130,Sedan,White,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,80
2016,Acura,MDX,Aurora,29555,64480,SUV,Green,Tan,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,81
2018,Acura,TLX,Aurora,29888,32445,Sedan,Red,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Japan,82
2018,Acura,TLX,Aurora,32555,40533,Sedan,Black,Black,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,83
2017,Subaru,Impreza,Aurora,21788,27073,Hatchback,Red,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Japan,84
2017,Acura,RDX,Aurora,29888,64227,SUV,Gray,Black,4,5,Automatic,AWD,3.5,6,Gasoline,Japan,85
2017,Audi,Q5,Aurora,29999,41667,SUV,Gray,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Germany,86
2019,Hyundai,Tucson,Aurora,26888,7184,SUV,White,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,87
2018,Ford,Transit,Aurora,30985,16302,Van,White/Black,Black,3,2,Automatic,RWD,3.7,6,Gasoline,USA,88
2018,Hyundai,Tucson,Aurora,24999,39454,SUV,White,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,89
2016,Toyota,RAV4,Aurora,18577,91238,SUV,Black,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,90
2017,Hyundai,Santa,Aurora,36899,13615,SUV,Black,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,91
2019,Hyundai,Santa,Aurora,38499,14828,SUV,Blue,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,92
2014,Buick,Encore,Aurora,14999,103726,SUV,White,Brown,4,5,Automatic,AWD,1.4,4,Gasoline,USA,93
2019,Hyundai,Santa,Aurora,37499,14231,SUV,White,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Korea,94
2016,Chevrolet,Cruze,Aurora,13999,35482,Sedan,Silver,Black,4,5,Automatic,FWD,1.4,4,Gasoline,USA,95
2019,Jeep,Grand,Aurora,36888,29920,SUV,Black,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,96
2018,Ram,1500,Aurora,39888,21800,Truck,Gray,Black,4,5,Automatic,4x4,5.7,8,Gasoline,USA,97
2011,Mercedes-Benz,G55,Aurora,69995,146100,SUV,Black,Black,4,5,Automatic,4x4,0.0,4,Gasoline,Germany,98
2019,GMC,Savana,Aurora,29985,16000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.3,6,Gasoline,USA,99
2008,Lexus,RX,Aurora,10495,207100,SUV,White/Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,100
2011,Subaru,Forester,Aurora,6495,212100,SUV,Black,Gray,4,5,Manual,AWD,0.0,4,Gasoline,Japan,101
2019,Acura,RDX,Aurora,42988,24002,SUV,Red,Black,4,5,Automatic,AWD,2.0,4,Gasoline,Japan,102
2019,Jeep,Grand,Aurora,36888,29877,SUV,White,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,103
2019,Acura,MDX,Aurora,44996,28583,SUV,Silver,Black,4,7,Automatic,AWD,3.5,6,Gasoline,Japan,104
2014,BMW,535i,Aurora,15995,167100,Sedan,Blue,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Germany,105
2017,Subaru,Outback,Aurora,22995,57151,SUV,White/Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,106
2011,Subaru,Legacy,Aurora,7495,156100,Sedan,White/Black,Black,4,4,Automatic,AWD,0.0,4,Gasoline,Japan,107
2014,Hyundai,Elantra,Aurora,13999,83141,Sedan,Gray,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,108
2019,Jeep,Cherokee,Aurora,28888,27898,SUV,Red,Black,4,5,Automatic,4x4,3.2,6,Gasoline,USA,109
2011,Audi,Q5,Aurora,11995,175100,SUV,Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Germany,110
2012,Subaru,Outback,Aurora,8995,158800,SUV,Blue,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,111
2012,Audi,Q5,Aurora,10995,170400,SUV,Blue,Tan,4,5,Automatic,AWD,0.0,4,Gasoline,Germany,112
2017,Ford,Transit,Aurora,25985,101000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,113
2020,GMC,Savana,Aurora,33985,10000,Commercial,White/Black,Black,3,2,Automatic,RWD,6.0,8,Gasoline,USA,114
2014,Mercedes-Benz,E-Class,Aurora,21995,101000,Sedan,Black,Black,4,5,Automatic,AWD,2.1,4,Diesel,Germany,115
2019,Ford,Transit,Aurora,36985,6000,Commercial,White/Black,Black,3,2,Automatic,RWD,3.7,6,Flex,USA,116
2019,GMC,Savana,Aurora,28985,23000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.3,6,Gasoline,USA,117
2019,Ford,Transit,Aurora,35985,13000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,6,Gasoline,USA,118
2017,Ford,Transit,Aurora,26985,95000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,119
2019,Ford,Transit,Aurora,34995,13464,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,120
2017,Ford,Transit,Aurora,25985,114000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,6,Gasoline,USA,121
2019,GMC,Savana,Aurora,35985,19000,Commercial,White/Black,Black,2,2,Automatic,RWD,6.0,8,Flex,USA,122
2018,Ford,Transit,Aurora,30995,22748,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,123
2019,GMC,Savana,Aurora,29985,14000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.3,8,Flex,USA,124
2017,Ford,Transit,Aurora,26985,98000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,125
2019,Ford,Transit,Aurora,35985,20000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,126
2011,Ford,E-450,Aurora,15995,182018,Commercial,White/Black,Black,2,5,Automatic,F4A,0.0,8,Gasoline,USA,127
2019,Chevrolet,Express,Aurora,29400,13590,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,6,Gasoline,USA,128
2019,Chevrolet,Express,Aurora,29480,7000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,4,Gasoline,USA,129
2019,Chevrolet,Express,Aurora,29985,20000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,6,Gasoline,USA,130
2018,Ford,Transit,Aurora,29985,48000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,131
2019,Chevrolet,Express,Aurora,26985,11000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,4,Gasoline,USA,132
2017,Chevrolet,Express,Aurora,23580,45000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.8,8,Gasoline,USA,133
2017,Chevrolet,Express,Aurora,23650,44895,Commercial,White/Black,Black,3,2,Automatic,RWD,4.8,8,Gasoline,USA,134
2017,GMC,Savana,Aurora,28995,53000,Commercial,White/Black,Black,2,2,Automatic,RWD,6.0,8,Gasoline,USA,135
2017,Ford,Transit,Aurora,26495,99000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,136
2017,Ford,Transit,Aurora,28985,47000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,6,Gasoline,USA,137
2018,Chevrolet,Express,Aurora,25995,30000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,138
2019,Ford,Transit,Aurora,35985,21000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,139
2019,GMC,Savana,Aurora,29995,22373,Commercial,White/Black,Black,3,2,Automatic,RWD,4.3,6,Flex,USA,140
2016,Ford,F-150,Aurora,24995,127000,Truck,White/Black,Black,4,5,Automatic,4x4,0.0,4,Flex,USA,141
2017,GMC,Savana,Aurora,22894,69000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.8,8,Gasoline,USA,142
2013,Chevrolet,Express,Aurora,15995,159000,Commercial,White/Black,Black,4,5,Automatic,F4A,0.0,4,Gasoline,USA,143
2017,Ford,Transit,Aurora,27985,79000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,144
2017,Ford,Transit,Aurora,26895,95123,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,145
2018,Chevrolet,Express,Aurora,25985,30889,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,146
2019,GMC,Savana,Aurora,34985,27000,Commercial,White/Black,Black,2,2,Automatic,RWD,6.0,8,Flex,USA,147
2015,Ford,Transit,Aurora,14985,131000,Commercial,White/Black,Black,4,5,Automatic,FWD,0.0,4,Gasoline,USA,148
2018,Ford,Transit,Aurora,29985,45000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,149
2017,Ford,Transit,Aurora,26985,95055,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,150
2019,Chevrolet,Express,Aurora,26985,14000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,151
2019,Chevrolet,Express,Aurora,31985,24304,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,8,Gasoline,USA,152
2018,GMC,Savana,Aurora,27800,3121,Commercial,White/Black,Black,3,2,Automatic,RWD,4.3,6,Flex,USA,153
2018,Chevrolet,Express,Aurora,26985,3000,Commercial,White/Black,Black,3,2,Automatic,RWD,4.8,6,Gasoline,USA,154
2019,Ford,E-450,Aurora,36985,18118,Commercial,White/Black,Black,2,5,Automatic,F4A,0.0,10,Gasoline,USA,155
2018,Ford,Transit,Aurora,30985,21000,Commercial,White/Black,Black,3,2,Automatic,RWD,3.7,6,Gasoline,USA,156
2019,Chevrolet,Express,Aurora,29985,12145,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,157
2018,Ford,Transit,Aurora,29495,71000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,158
2019,Ford,Transit,Aurora,35985,13000,Commercial,White/Black,Black,3,5,Automatic,RWD,0.0,6,Gasoline,USA,159
2006,Infiniti,QX56,Aurora,7995,233100,SUV,Black,Black,4,7,Automatic,4x4,0.0,4,Gasoline,Japan,160
2016,Nissan,Maxima,Aurora,21888,46121,Sedan,White,Black,4,5,Automatic,FWD,3.5,6,Gasoline,Japan,161
2013,Toyota,Venza,Aurora,14788,73659,SUV,Silver,Gray,4,5,Automatic,FWD,3.5,6,Gasoline,Japan,162
2018,Jeep,Grand,Aurora,34888,23700,SUV,Black,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,163
2004,Volkswagen,Passat,Aurora,1995,213850,Sedan,Silver,Black,4,5,Automatic,FWD,0.0,4,Gasoline,Germany,164
2010,Subaru,Forester,Aurora,6995,200391,SUV,White/Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Japan,165
2008,BMW,535I,Aurora,7995,144100,Sedan,Blue,Black,4,5,Automatic,F4A,0.0,4,Gasoline,Germany,166
2017,Hyundai,Elantra,Aurora,14588,44032,Sedan,Black,Black,4,5,Automatic,FWD,2.0,4,Gasoline,Korea,167
2009,Hyundai,Santa,Aurora,7495,115118,SUV,Black,Black,4,5,Automatic,AWD,0.0,4,Gasoline,Korea,168
2019,Dodge,Charger,Aurora,22888,46755,Sedan,White,Black,4,5,Automatic,RWD,3.6,6,Gasoline,USA,169
2015,Toyota,RAV4,Aurora,15987,72315,SUV,Silver,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,170
2018,Dodge,Grand,Aurora,21888,56554,Van,Silver,Black,4,7,Automatic,FWD,3.6,6,Gasoline,USA,171
2018,Ram,1500,Aurora,32888,1000,Truck,White,Black,4,5,Automatic,4x4,5.7,8,Gasoline,USA,172
2011,Hyundai,Genesis,Aurora,9988,155998,Sedan,White/Black,Black,4,5,Automatic,RWD,4.6,8,Gasoline,Korea,173
2018,Dodge,Grand,Aurora,21888,62488,Van,Black,Black,4,7,Automatic,FWD,3.6,6,Gasoline,USA,174
2018,Dodge,Grand,Aurora,21888,63244,Van,White/Black,Black,4,7,Automatic,FWD,3.6,6,Gasoline,USA,175
2001,Nissan,Silvia,Aurora,16995,160100,Coupe,White/Black,Black,2,4,Manual,RWD,0.0,4,Gasoline,Japan,176
2016,Hyundai,Genesis,Aurora,27088,76240,Sedan,Blue,Black,4,5,Automatic,AWD,3.8,6,Gasoline,Korea,177
2016,Hyundai,Sonata,Aurora,19499,50699,Sedan,Brown,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Korea,178
2015,Ford,Focus,Aurora,12798,58630,Hatchback,Red,Black,4,5,Automatic,FWD,2.0,4,Gasoline,USA,179
