year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2014,Ram,Cargo,Aurora,"$8,985","178,000",-,-,-,-,-,-,-,#NAME?,-,Gasoline
2014,Dodge,Ram,Aurora,"$8,985","178,000",-,-,-,-,-,-,-,#NAME?,-,-
2015,Hyundai,Genesis,Aurora,"$18,888","79,870",Coupe,White,Brown,2,4,Automatic,RWD,3.8L,6,Gasoline
2016,Acura,TLX,Aurora,"$19,988","53,076",Sedan,Blue,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2015,Dodge,Journey,Aurora,"$11,949",,SUV,-,-,4,7,Automatic,AWD,3.6L,6,Gasoline
2014,Dodge,Grand,Aurora,"$11,949",,Van,-,-,4,4,Automatic,FWD,3.6L,6,Flex
2014,Nissan,Sentra,Aurora,"$5,950","153,000",Sedan,-,-,4,5,Manual,FWD,1.8L,4,Gasoline
2017,Dodge,Grand,Aurora,"$12,995","103,210",-,-,Black,4,7,Automatic,FWD,#NAME?,-,Gasoline
2017,Chevrolet,Cruze,Aurora,"$12,288","74,293",Sedan,Black,Black,4,5,Manual,FWD,1.4L,4,Gasoline
2016,Mazda,CX-5,Aurora,"$20,988","64,252",SUV,Gray,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2019,GMC,Savana,Aurora,"$28,985","9,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$29,985","11,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$29,985","12,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2020,GMC,Savana,Aurora,"$30,985","5,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2020,GMC,Savana,Aurora,"$30,995","7,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2020,GMC,Savana,Aurora,"$30,985","6,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Ford,Transit,Aurora,"$35,985","20,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Diesel
2019,Dodge,Charger,Aurora,"$22,500","47,897",Sedan,White,Black,4,5,Automatic,RWD,3.6L,6,Gasoline
2019,Dodge,Charger,Aurora,"$23,888","44,453",Sedan,White,Black,4,5,Automatic,RWD,3.6L,6,Gasoline
2019,Jeep,Grand,Aurora,"$36,777","33,899",SUV,White,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2019,Ford,Transit,Aurora,"$35,988","22,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Ford,Transit,Aurora,"$35,985","20,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Ford,Transit,Aurora,"$33,985","21,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Ford,Transit,Aurora,"$32,985","33,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Toyota,Camry,Aurora,"$22,500","30,431",Sedan,White,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2019,Hyundai,Santa,Aurora,"$43,999","14,143",SUV,White,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2013,Hyundai,Veloster,Aurora,"$8,888","131,451",Hatchback,Orange,Black,3,4,Manual,FWD,1.6L,4,Gasoline
2013,Chevrolet,Cruze,Aurora,"$8,888","110,297",Sedan,-,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2012,Ford,Fusion,Aurora,"$6,395","140,100",Sedan,Black,Black,4,5,Automatic,AWD,#NAME?,-,Gasoline
2016,Toyota,Highlander,Aurora,"$29,988","99,371",SUV,Gray,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2018,Volkswagen,Atlas,Aurora,"$37,994","38,446",SUV,Black,Black,4,5,Automatic,AWD,3.6L,6,Gasoline
2019,Hyundai,Santa,Aurora,"$27,988","27,949",SUV,Red,Black,4,7,Automatic,AWD,2.4L,4,Gasoline
2019,Hyundai,Santa,Aurora,"$36,499","5,554",SUV,Black,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Hyundai,Elantra,Aurora,"$15,588","24,633",Sedan,Blue,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,Hyundai,Elantra,Aurora,"$12,999","74,540",Sedan,Silver,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2007,Toyota,Sequoia,Aurora,"$10,495","237,400",SUV,Black,Gray,4,8,Automatic,4x4,#NAME?,-,Gasoline
2019,Toyota,Camry,Aurora,"$24,873","32,003",Sedan,Gray,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Toyota,Prius,Aurora,"$18,688","92,414",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2013,BMW,7,Aurora,"$19,885","169,300",Sedan,Black,Black,4,5,Automatic,AWD,#NAME?,-,Gasoline
2017,Honda,Civic,Aurora,"$15,999","66,648",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Ram,1500,Aurora,"$52,888","48,208",Truck,Black,Black,4,5,Automatic,4x4,5.7L,8,Gasoline
