year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2015,Chevrolet,Trax,Barrie,"$7,990","175,001",SUV,Black,Gray,4,5,Automatic,FWD,1.4L,4,Gasoline
2013,Hyundai,Santa,Barrie,"$16,995","88,841",SUV,Green,-,4,5,Automatic,4x4,2.4L,4,Gasoline
2016,Kia,Sorento,Barrie,"$13,995","133,778",SUV,Blue,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$19,995","101,820",SUV,White,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2016,Mazda,Mazda3,Barrie,"$13,995","55,826",Sedan,Blue,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,Lexus,LS,Barrie,"$59,995","55,508",Sedan,Black,-,4,5,Automatic,AWD,4.6L,8,Gasoline
2008,Dodge,Grand,Barrie,"$4,990","208,000",Van,Silver,Gray,4,7,Automatic,FWD,3.3L,6,Gasoline
2011,Ford,F-150,Barrie,"$13,300","198,683",Truck,White,-,4,5,Automatic,4x4,6.2L,8,Gasoline
2015,Dodge,Grand,Barrie,"$8,900","169,006",Van,Gray,-,4,7,Automatic,FWD,3.6L,6,Gasoline
2011,Mazda,Mazda3,Barrie,"$5,900","106,984",Sedan,Black,-,4,5,Manual,FWD,2.0L,4,Gasoline
2016,Ford,Escape,Barrie,"$18,995","136,000",SUV,Red,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2016,Mitsubishi,Outlander,Barrie,"$19,298","52,000",SUV,Black,Black,4,5,Automatic,4x4,2.4L,4,Gasoline
2017,Lexus,NX,Barrie,"$33,908","79,823",SUV,Black,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2015,Chevrolet,Tahoe,Barrie,"$46,944","70,949",SUV,Black,-,4,7,Automatic,4x4,5.3L,8,Gasoline
2015,Chevrolet,Trax,Barrie,"$15,900","72,369",SUV,Blue,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2001,BMW,Z3,Barrie,"$8,900","140,000",Convertible,Gray,-,2,2,-,RWD,2.5L,6,Gasoline
2013,Chevrolet,Trax,Barrie,"$10,995","64,000",SUV,Gray,-,4,5,Automatic,AWD,1.4L,4,Gasoline
2015,Subaru,Forester,Barrie,"$15,995","116,257",SUV,Blue,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2012,Audi,A4,Barrie,"$5,900","248,505",Sedan,White,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Buick,Enclave,Barrie,"$28,944","80,143",SUV,-,-,4,7,Automatic,AWD,3.6L,6,Gasoline
2018,Chevrolet,Silverado,Barrie,"$65,944","63,251",Truck,Black,-,4,5,Automatic,4x4,6.6L,8,Diesel
2017,Chevrolet,Cruze,Barrie,"$16,550","37,561",-,Black,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2016,GMC,Sierra,Barrie,"$21,944","150,423",Truck,Gray,-,4,6,Automatic,4x4,5.3L,8,Gasoline
2019,Chevrolet,Silverado,Barrie,"$57,944","78,618",Truck,Black,-,4,5,Automatic,4x4,6.2L,8,Gasoline
2018,Ford,F-150,Barrie,"$30,944","91,251",Truck,-,-,4,-,Automatic,4x4,5.0L,8,Flex
2014,GMC,Terrain,Barrie,"$18,944","148,443",SUV,-,Black,4,5,Automatic,AWD,3.6L,6,Gasoline
2016,Jeep,Cherokee,Barrie,"$21,944","95,899",SUV,-,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2017,Chevrolet,Silverado,Barrie,"$27,944","144,027",Truck,Silver,-,4,6,Automatic,4x4,5.3L,8,Gasoline
2019,GMC,Sierra,Barrie,"$67,944","18,884",Truck,Black,-,4,5,Automatic,4x4,6.2L,8,Gasoline
2017,Chevrolet,Silverado,Barrie,"$57,944","78,433",Truck,Black,-,4,6,Automatic,4x4,6.0L,8,Flex
2017,GMC,Yukon,Barrie,"$39,944","67,555",SUV,Black,-,4,8,Automatic,4x4,5.3L,8,Gasoline
2017,Lexus,RX,Barrie,"$42,908","66,115",SUV,Blue,-,4,5,Automatic,AWD,3.5L,6,Gasoline
2016,Lexus,NX,Barrie,"$30,908","75,590",SUV,Brown,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2018,Toyota,Tundra,Barrie,"$49,995","50,051",Truck,Black,-,4,5,Automatic,4x4,5.7L,8,Gasoline
2017,Chevrolet,Silverado,Barrie,"$49,944","93,651",Truck,Black,-,4,6,Automatic,4x4,6.6L,8,Diesel
2019,Chevrolet,Express,Barrie,"$34,944","22,836",Van,-,-,3,2,Automatic,RWD,6.0L,8,Flex
2018,Mazda,CX-5,Barrie,"$28,995","28,424",SUV,Brown,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2014,Nissan,Pathfinder,Barrie,"$9,900","217,149",SUV,Blue,-,4,7,Automatic,4x4,3.5L,6,Gasoline
2011,Ford,Mustang,Barrie,"$8,900","174,735",Coupe,Red,-,2,4,Manual,RWD,3.7L,6,Gasoline
2017,Ford,Escape,Barrie,"$19,995","91,780",SUV,Black,-,4,5,Automatic,4x4,1.5L,4,Gasoline
2014,Tesla,Model,Barrie,"$62,944","95,006",Sedan,-,-,4,5,Automatic,AWD,#NAME?,-,Electric
2015,Mazda,CX-5,Barrie,"$18,995","85,012",SUV,Blue,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2018,GMC,Sierra,Barrie,"$62,944","61,580",Truck,Black,-,4,5,Automatic,4x4,6.6L,8,Diesel
2019,Honda,Accord,Barrie,"$29,760",56,Sedan,-,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,Mazda,CX-9,Barrie,"$33,995","70,121",SUV,Blue,-,4,7,Automatic,4x4,2.5L,4,Gasoline
2008,Hyundai,TucsonCertified,Barrie,"$5,990","120,000",SUV,Black,Gray,4,5,Automatic,4x4,2.7L,6,Gasoline
2009,Honda,Civic,Barrie,"$4,888","230,233",Coupe,Gray,Black,2,5,Automatic,FWD,1.8L,4,Gasoline
2016,Hyundai,Santa,Barrie,"$19,995","84,447",SUV,Black,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2011,Chevrolet,Equinox,Barrie,"$8,995","129,225",SUV,White,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2017,Hyundai,Tucson,Barrie,"$18,888","83,370",SUV,Black,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2016,Honda,Civic,Barrie,"$15,460","78,812",Sedan,-,-,4,5,Automatic,FWD,1.5L,4,Gasoline
2018,MINI,Countryman,Barrie,"$35,150","17,502",SUV,-,-,4,5,-,AWD,2.0L,4,Gasoline
2017,Ram,1500,Barrie,"$28,360","17,296",Truck,Gray,Black,4,6,Automatic,4x4,5.7L,8,Gasoline
2015,Ram,1500,Barrie,"$29,160","78,758",Truck,White,Black,4,5,Automatic,4x4,3.0L,6,Diesel
2019,Chevrolet,Silverado,Barrie,"$58,075","30,561",Truck,Black,Black,4,6,Automatic,4x4,5.3L,8,Gasoline
2012,GMC,Terrain,Barrie,"$8,888","174,511",SUV,White,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2012,Honda,CR-V,Barrie,"$10,560","201,047",SUV,-,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2010,Ford,Escape,Barrie,"$5,990","171,000",SUV,Black,Gray,4,5,Automatic,FWD,3.0L,6,Flex
2017,GMC,Sierra,Barrie,"$21,550","84,590",Truck,White,-,2,3,Automatic,RWD,4.3L,6,Flex
2017,Chevrolet,Cruze,Barrie,"$16,550","45,789",Sedan,Gray,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2017,Chevrolet,Cruze,Barrie,"$16,550","30,451",Sedan,Blue,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2019,Chevrolet,Silverado,Barrie,"$64,944","12,897",Truck,Black,-,4,6,Automatic,4x4,6.6L,8,Diesel
2017,GMC,Sierra,Barrie,"$37,944","84,117",Truck,Black,-,4,6,Automatic,4x4,6.0L,8,Flex
2018,GMC,Yukon,Barrie,"$55,944","81,631",SUV,Black,-,4,7,Automatic,AWD,6.2L,8,Flex
2019,Chevrolet,Silverado,Barrie,"$52,944","37,963",Truck,Red,-,4,6,Automatic,4x4,5.3L,8,Gasoline
2019,GMC,Sierra,Barrie,"$72,944","23,201",Truck,Black,-,4,5,Automatic,4x4,6.6L,8,Diesel
2016,Mazda,CX-3,Barrie,"$15,495","143,629",SUV,White,Black,4,5,Automatic,4x4,2.0L,4,Gasoline
2016,Ford,Escape,Barrie,"$16,995","123,813",SUV,Black,-,4,5,Automatic,4x4,1.6L,4,Gasoline
2017,Dodge,Grand,Barrie,"$24,995","28,000",Van,Black,-,4,7,Automatic,FWD,3.6L,6,Gasoline
2019,Buick,Envision,Barrie,"$29,944","34,065",SUV,White,-,4,5,Automatic,AWD,2.5L,4,Flex
2016,Mazda,CX-5,Barrie,"$21,995","63,349",SUV,Silver,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2011,Cadillac,SRX,Barrie,"$9,990","158,000",SUV,White,Gray,4,5,Automatic,FWD,3.0L,6,Gasoline
2012,Chevrolet,Equinox,Barrie,"$5,990","207,000",SUV,Silver,Gray,4,5,Automatic,AWD,2.4L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$22,995","42,784",SUV,Red,White,4,5,Automatic,4x4,2.5L,4,Gasoline
2017,Chevrolet,Silverado,Barrie,"$25,995","155,627",Truck,Silver,-,4,6,Automatic,4x4,5.3L,8,Gasoline
2016,Mazda,CX-5,Barrie,"$22,995","66,585",SUV,Red,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2015,Dodge,Journey,Barrie,"$9,888","131,633",SUV,Black,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2014,Honda,CR-V,Barrie,"$15,260","107,724",SUV,Blue,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2014,Jeep,Patriot,Barrie,"$6,990","227,000",SUV,Gray,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2013,Dodge,DartCertified,Barrie,"$8,995","56,900",Sedan,Blue,Gray,4,5,Manual,FWD,1.4L,4,Gasoline
2011,Kia,Sportage,Barrie,"$9,995","138,000",SUV,Blue,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2012,Honda,Accord,Barrie,"$9,995","150,333",Sedan,Silver,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2011,Hyundai,Elantra,Barrie,"$6,995","108,169",Hatchback,Black,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2013,Nissan,Sentra,Barrie,"$8,995","147,181",Sedan,Blue,-,4,5,-,FWD,1.8L,4,Gasoline
2016,Chevrolet,Silverado,Barrie,"$48,995","142,229",Truck,White,-,4,5,Automatic,4x4,6.6L,8,Diesel
2013,Mitsubishi,RVR,Barrie,"$12,995","98,924",SUV,Gray,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2013,Hyundai,Santa,Barrie,"$13,995","123,272",SUV,White,Gray,4,5,Automatic,AWD,2.4L,4,Gasoline
2019,Hyundai,Veloster,Barrie,"$18,995","44,775",Hatchback,White,Black,3,4,Automatic,FWD,2.0L,4,Gasoline
2017,Ford,Escape,Barrie,"$17,995","81,340",SUV,Brown,Gray,4,5,Automatic,AWD,1.5L,4,Gasoline
2016,Kia,Soul,Barrie,"$12,995","102,608",Hatchback,Brown,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Ford,Mustang,Barrie,"$26,995",500,Coupe,Red,-,2,4,Automatic,RWD,2.3L,4,Gasoline
2018,Chevrolet,Tahoe,Barrie,"$39,995","71,000",SUV,White,-,4,9,Automatic,4x4,5.3L,8,Gasoline
2015,Toyota,Sienna,Barrie,"$25,258","79,765",Van,Blue,-,4,7,Automatic,AWD,3.5L,6,Gasoline
2017,Mazda,CX-3,Barrie,"$16,995","70,250",SUV,Blue,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2017,Chevrolet,Equinox,Barrie,"$19,995","84,612",SUV,Gray,-,4,5,Automatic,4x4,2.4L,4,Gasoline
2015,Ram,1500,Barrie,"$24,995","134,700",Truck,Blue,Black,4,5,Automatic,4x4,5.7L,8,Gasoline
2014,Chevrolet,Cruze,Barrie,"$8,795","108,300",Sedan,Black,Gray,4,5,Automatic,FWD,1.4L,4,Gasoline
2018,Toyota,TacomaCertified,Barrie,"$36,995","74,500",Truck,White,Black,4,5,Automatic,4x4,3.5L,6,Gasoline
2016,Chevrolet,Spark,Barrie,"$9,995","90,900",Sedan,Blue,Gray,4,4,Automatic,FWD,1.4L,4,Gasoline
2013,Volkswagen,Golf,Barrie,"$5,500","202,875",Sedan,Gray,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2014,FIAT,500L,Barrie,"$9,888","91,854",Sedan,White,Gray,4,5,Automatic,FWD,1.4L,4,Gasoline
2013,Toyota,Highlander,Barrie,"$21,995","74,183",SUV,Gray,-,4,7,Automatic,4x4,3.5L,6,Gasoline
2013,Hyundai,Elantra,Barrie,"$7,995","140,300",Sedan,Gray,Gray,4,5,Automatic,FWD,1.8L,4,Gasoline
2007,Ford,MustangCertified,Barrie,"$9,995","129,400",Convertible,Blue,Black,2,4,Manual,RWD,4.0L,6,Gasoline
2014,GMC,Sierra,Barrie,"$17,995","176,300",Truck,Blue,Gray,4,5,Automatic,RWD,4.3L,6,Flex
2019,Buick,Envision,Barrie,"$29,944","31,302",SUV,-,-,4,5,Automatic,AWD,2.5L,4,Flex
2017,Dodge,Grand,Barrie,"$19,550","66,968",Van,Gray,-,4,7,Automatic,FWD,3.6L,6,Flex
2017,Cadillac,ATS,Barrie,"$29,550","38,748",Sedan,Black,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2018,Cadillac,XT5,Barrie,"$39,550","20,669",SUV,-,-,4,5,Automatic,AWD,3.6L,6,Gasoline
2017,Mazda,CX-5,Barrie,"$23,995","41,524",SUV,Red,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2016,Toyota,Tacoma,Barrie,"$30,858","110,783",Truck,Orange,Black,4,5,Manual,4x4,3.5L,6,Gasoline
2018,Hyundai,Santa,Barrie,"$25,160","52,593",SUV,-,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2019,Toyota,C-HR,Barrie,"$24,758","20,872",SUV,Gray,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2014,FIAT,500L,Barrie,"$9,888","82,722",Sedan,Black,Red,4,5,Automatic,FWD,1.4L,4,Gasoline
2016,Nissan,Murano,Barrie,"$21,550","40,735",SUV,Silver,-,4,5,Automatic,FWD,3.5L,6,Gasoline
2015,Mercedes-Benz,GLA-Class,Barrie,"$22,995","42,005",SUV,Black,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2015,Chevrolet,Cruze,Barrie,"$9,995","101,458",Sedan,Blue,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$16,995","170,975",SUV,Blue,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2017,Ford,Focus,Barrie,"$14,995","68,532",Sedan,Gray,-,4,5,-,FWD,2.0L,4,Gasoline
2016,Ford,Fusion,Barrie,"$15,995","75,303",Sedan,Red,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2015,Ford,Focus,Barrie,"$9,995","66,141",Hatchback,Red,-,4,5,-,FWD,2.0L,4,Gasoline
2016,Ford,Super,Barrie,"$41,995","160,606",Truck,Black,-,4,6,Automatic,4x4,6.7L,8,Diesel
2013,Ford,Edge,Barrie,"$8,990","184,001",SUV,Blue,Gray,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,GMC,Terrain,Barrie,"$18,944","130,660",SUV,-,-,4,5,Automatic,AWD,3.6L,6,Gasoline
2016,Nissan,JUKE,Barrie,"$16,944","50,377",SUV,Black,-,4,5,Automatic,AWD,1.6L,4,Gasoline
2018,Mazda,CX-5,Barrie,"$29,995","21,446",SUV,White,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2016,Mazda,CX-3,Barrie,"$19,995","53,197",SUV,Black,White,4,5,Automatic,4x4,2.0L,4,Gasoline
2015,Honda,Odyssey,Barrie,"$25,995","109,878",Van,White,-,4,8,Automatic,FWD,3.5L,6,Gasoline
2018,Nissan,Versa,Barrie,"$14,498","45,637",Hatchback,Black,Black,4,5,-,FWD,1.6L,4,Gasoline
2019,Ford,Transit,Barrie,"$41,995","38,748",Van,White,-,3,8,Automatic,RWD,3.7L,6,Gasoline
2017,Mazda,CX-5,Barrie,"$24,995","57,401",SUV,Blue,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2015,Mazda,CX-5,Barrie,"$17,995","82,088",SUV,-,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2013,Hyundai,Santa,Barrie,"$13,788","124,850",SUV,Silver,-,4,5,Automatic,AWD,2.4L,4,Gasoline
2019,Ford,F-150,Barrie,"$53,960","45,696",Truck,Black,-,4,-,Automatic,4x4,3.5L,6,Gasoline
2017,GMC,Terrain,Barrie,"$21,944","71,438",SUV,White,-,4,5,Automatic,AWD,3.6L,6,Gasoline
2005,Lexus,ES,Barrie,"$4,888","193,631",Sedan,Gray,Black,4,5,Automatic,FWD,3.3L,6,Gasoline
2013,Volkswagen,Jetta,Barrie,"$5,990","160,000",Sedan,Silver,Gray,4,5,Automatic,FWD,2.0L,4,Gasoline
2016,Dodge,Journey,Barrie,"$13,995","95,104",SUV,Silver,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2018,Ford,EcoSport,Barrie,"$17,995","94,340",SUV,Blue,-,4,5,Automatic,FWD,1.0L,3,Gasoline
2017,Ford,F-150,Barrie,"$28,995","103,681",Truck,Black,-,4,-,Automatic,4x4,5.0L,8,Gasoline
2017,Honda,Civic,Barrie,"$14,850","170,439",Sedan,Black,-,4,5,Automatic,FWD,1.5L,4,Gasoline
2019,Toyota,RAV4,Barrie,"$27,397","25,291",SUV,Silver,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2018,Toyota,Tundra,Barrie,"$39,550","15,278",Truck,Red,-,4,5,Automatic,4x4,5.7L,8,Gasoline
2015,Mazda,Mazda3,Barrie,"$11,495","105,852",Sedan,Gray,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Mitsubishi,RVR,Barrie,"$24,998","28,500",SUV,Blue,Black,4,5,Automatic,4x4,2.0L,4,Gasoline
2019,Mitsubishi,Outlander,Barrie,"$25,498","31,500",SUV,Gray,Black,4,-,Automatic,4x4,2.4L,4,Gasoline
2017,Mitsubishi,Mirage,Barrie,"$10,798","47,180",Sedan,Gray,Black,4,5,-,FWD,1.2L,3,Gasoline
2018,Mazda,CX-3,Barrie,"$23,995","36,241",SUV,Black,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2016,GMC,Acadia,Barrie,"$24,944","76,506",SUV,Silver,-,4,7,Automatic,AWD,3.6L,6,Gasoline
2018,Chevrolet,Cruze,Barrie,"$19,550","58,388",Sedan,Orange,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2015,Toyota,Tundra,Barrie,"$27,550","135,794",Truck,Black,-,4,6,Automatic,4x4,5.7L,8,Gasoline
2017,Mazda,CX-9,Barrie,"$31,550","78,800",SUV,Gray,-,4,7,Automatic,AWD,2.5L,4,Gasoline
2020,Lexus,NX,Barrie,"$50,508","6,835",SUV,Silver,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2010,Nissan,Versa,Barrie,"$6,950","74,756",Hatchback,Blue,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2017,Ford,Escape,Barrie,"$15,950","97,164",SUV,Silver,Black,4,5,Automatic,FWD,1.5L,4,Gasoline
2016,Toyota,Corolla,Barrie,"$14,460","37,194",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2018,Mazda,CX-3,Barrie,"$23,995","23,757",SUV,Blue,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2016,Hyundai,Santa,Barrie,"$16,788","73,559",SUV,Gray,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2017,Jeep,Compass,Barrie,"$20,995","63,824",SUV,Black,-,4,5,Automatic,4x4,2.4L,4,Gasoline
2016,Mazda,CX-3,Barrie,"$15,995","90,274",SUV,Blue,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,Chrysler,Pacifica,Barrie,"$30,995","91,205",Van,Silver,Black,4,7,Automatic,FWD,3.6L,6,Gasoline
2014,Mercedes-Benz,C-Class,Barrie,"$15,995","119,000",Sedan,Blue,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2013,Volkswagen,Golf,Barrie,"$12,995","94,200",Wagon,White,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2015,Toyota,RAV4,Barrie,"$16,151","115,549",SUV,Gray,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Chevrolet,Tahoe,Barrie,"$41,944","132,413",SUV,White,-,4,7,Automatic,4x4,5.3L,8,Gasoline
2018,GMC,Canyon,Barrie,"$41,550","52,588",Truck,Black,-,4,5,Automatic,4x4,2.8L,4,Diesel
2017,Chevrolet,Trax,Barrie,"$18,900","31,373",SUV,Red,-,4,5,Automatic,AWD,1.4L,4,Gasoline
2014,Dodge,Grand,Barrie,"$18,550","45,464",Van,White,-,4,7,Automatic,FWD,3.6L,6,Flex
2017,Mazda,CX-3,Barrie,"$14,995","120,364",SUV,Black,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$18,995","89,926",SUV,Red,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2018,Mazda,Mazda3,Barrie,"$20,995","43,576",Sedan,Blue,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2018,Mazda,CX-3,Barrie,"$18,995","61,822",SUV,Blue,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2014,Ford,Focus,Barrie,"$5,888","170,408",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Flex
2018,Porsche,911,Barrie,"$189,996",8,Coupe,White,-,2,4,Automatic,AWD,3.8L,6,Gasoline
2016,Hyundai,Tucson,Barrie,"$17,788","87,231",SUV,Black,-,4,5,Automatic,AWD,1.6L,4,Gasoline
2014,Hyundai,Sonata,Barrie,"$8,995","149,400",Sedan,Gray,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2016,Jeep,Patriot,Barrie,"$11,995","125,400",SUV,Black,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2018,Chevrolet,SonicCertified,Barrie,"$12,995","68,200",Hatchback,White,Gray,4,5,Manual,FWD,1.4L,4,Gasoline
2015,Volkswagen,Golf,Barrie,"$13,995","121,000",Wagon,Gray,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2018,Hyundai,Elantra,Barrie,"$16,887","34,102",Sedan,White,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2013,Volkswagen,Passat,Barrie,"$9,995","91,200",Sedan,Gray,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2020,Nissan,Altima,Barrie,"$35,098",6,Sedan,White,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2018,Mazda,CX-9,Barrie,"$31,995","83,364",SUV,Black,Black,4,7,Automatic,4x4,2.5L,4,Gasoline
2015,Ford,Fiesta,Barrie,"$5,888","156,442",Sedan,Black,Black,4,5,Manual,FWD,1.6L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$22,995","67,275",SUV,Gray,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2014,Mazda,CX-5,Barrie,"$18,995","84,707",SUV,Red,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2019,Mazda,Mazda3,Barrie,"$28,995","7,664",Sedan,White,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2013,Nissan,Sentra,Barrie,"$6,288","176,223",Sedan,Black,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2017,Hyundai,Elantra,Barrie,"$12,995","111,200",Sedan,Gray,Gray,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,Ford,F-150,Barrie,"$35,944","52,233",Truck,Gray,-,4,-,Automatic,4x4,5.0L,8,Flex
2012,Mazda,Mazda3,Barrie,"$5,888","190,104",Hatchback,Silver,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,Honda,CR-V,Barrie,"$30,858","26,693",SUV,Black,-,4,5,Automatic,AWD,1.5L,4,Gasoline
2019,Nissan,Sentra,Barrie,"$15,944","47,089",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2012,Buick,Verano,Barrie,"$15,550","29,377",Sedan,White,-,4,5,Automatic,FWD,2.4L,4,Gasoline
2001,Daihatsu,Charade,Barrie,"$7,500","96,744",-,White,-,4,4,Automatic,-,#NAME?,3,Gasoline
2014,Nissan,SentraCertified,Barrie,"$9,995","100,600",Sedan,Black,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2012,Mercedes-Benz,Sprinter,Barrie,"$18,995","170,900",Commercial,White,Gray,3,2,Automatic,RWD,3.0L,6,Diesel
2013,Volkswagen,Golf,Barrie,"$13,995","198,815",Sedan,Gray,-,4,5,Manual,AWD,2.0L,4,Gasoline
2015,Mazda,CX-5,Barrie,"$19,995","77,590",SUV,Silver,Black,4,5,Automatic,4x4,2.5L,4,Gasoline
2016,Buick,LaCrosse,Barrie,"$14,995","126,007",Sedan,Tan,-,4,5,Automatic,FWD,3.6L,6,Gasoline
2011,Ford,F-150,Barrie,"$6,788","221,379",Truck,Blue,-,2,3,Automatic,RWD,3.7L,6,Flex
2017,Honda,CR-V,Barrie,"$19,160","118,447",SUV,Silver,-,4,5,Automatic,AWD,1.5L,4,Gasoline
2019,Nissan,Sentra,Barrie,"$15,944","48,867",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2016,Toyota,RAV4,Barrie,"$17,758","140,832",SUV,Purple,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Ford,F-150,Barrie,"$26,988","93,768",Truck,White,Gray,4,-,Automatic,4x4,5.0L,8,Gasoline
2014,Chevrolet,Silverado,Barrie,"$24,988","112,082",Truck,Black,Gray,4,6,Automatic,4x4,5.3L,8,Gasoline
2014,Dodge,Grand,Barrie,"$13,988","104,398",Van,White,Black,4,7,Automatic,FWD,3.6L,6,Gasoline
2016,Mazda,CX-5,Barrie,"$17,995","82,212",SUV,Red,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Mazda,CX-5,Barrie,"$20,995","92,280",SUV,Blue,-,4,5,Automatic,4x4,2.5L,4,Gasoline
2016,Ford,Escape,Barrie,"$20,995","83,653",SUV,White,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2018,Lexus,RX,Barrie,"$48,908","48,125",SUV,Silver,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2017,Lexus,GX,Barrie,"$56,908","31,124",SUV,White,Brown,4,7,Automatic,4x4,4.6L,8,Gasoline
2016,Mazda,CX-3,Barrie,"$18,495","59,915",SUV,Red,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2014,Mazda,CX-5,Barrie,"$14,995","84,199",SUV,Black,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2017,Lexus,RX,Barrie,"$41,908","74,760",SUV,Black,Tan,4,5,Automatic,AWD,3.5L,6,Gasoline
2015,Jeep,Cherokee,Barrie,"$16,560","84,043",SUV,Blue,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2015,Chevrolet,Silverado,Barrie,"$11,950","266,828",Truck,-,-,4,6,Automatic,RWD,4.3L,6,Gasoline
2019,Nissan,Sentra,Barrie,"$15,944","41,213",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2018,GMC,Canyon,Barrie,"$43,550","30,501",Truck,White,-,4,5,Automatic,4x4,2.8L,4,Diesel
