year,price,mileage,door,passenger,displacement,cylinder,body_type_num,location_index,exterior_color(i),interior_color(i),transmission(i),drive_type(i),fuel_index,brand_i,country_i,real_year,vehicle_id
2016,30998,58962,4,7,3.5,6,2.0,0,7,0,0,2,0,6,0,4.46,70
2016,15588,47587,4,5,2.5,4,2.0,0,4,0,0,0,0,5,0,3.98,71
2009,2495,203637,4,5,0.0,4,1.0,0,7,1,0,0,0,9,1,13.98,72
2016,16388,46656,4,5,2.5,4,1.0,0,0,1,0,0,0,0,0,3.94,73
2016,22688,77555,4,5,3.5,6,2.0,0,1,0,0,2,0,3,0,5.23,74
2017,34988,78638,4,5,3.5,6,5.0,0,1,1,0,4,0,0,0,4.78,75
2019,38988,22726,4,5,3.5,6,1.0,0,1,4,0,2,0,3,0,1.45,76
2019,36500,33277,4,5,3.6,6,2.0,0,2,0,0,4,0,4,2,1.89,77
2011,6995,257100,4,5,0.0,4,1.0,0,0,0,0,1,0,5,0,15.21,78
2011,10495,179110,2,4,0.0,4,6.0,0,2,0,0,0,0,19,4,11.96,79
2020,17988,12130,4,5,2.0,4,1.0,0,1,0,0,0,0,2,1,0.51,80
2016,29555,64480,4,7,3.5,6,2.0,0,6,2,0,2,0,3,0,4.69,81
2018,29888,32445,4,5,2.4,4,1.0,0,3,0,0,0,0,3,0,2.35,82
2018,32555,40533,4,5,3.5,6,1.0,0,2,0,0,2,0,3,0,2.69,83
2017,21788,27073,4,5,2.0,4,4.0,0,3,0,0,2,0,8,0,2.63,84
2017,29888,64227,4,5,3.5,6,2.0,0,4,0,0,2,0,3,0,4.18,85
2017,29999,41667,4,5,2.0,4,2.0,0,4,0,0,2,0,20,3,3.24,86
2019,26888,7184,4,5,2.0,4,2.0,0,1,0,0,2,0,2,1,0.8,87
2018,30985,16302,3,2,3.7,6,7.0,0,0,0,0,3,0,16,2,1.68,88
2018,24999,39454,4,5,2.0,4,2.0,0,1,0,0,2,0,2,1,2.64,89
2016,18577,91238,4,5,2.5,4,2.0,0,2,0,0,2,0,0,0,5.8,90
2017,36899,13615,4,5,2.0,4,2.0,0,2,0,0,2,0,2,1,2.07,91
2019,38499,14828,4,5,2.0,4,2.0,0,5,0,0,2,0,2,1,1.12,92
2014,14999,103726,4,5,1.4,4,2.0,0,1,3,0,2,0,21,2,7.32,93
2019,37499,14231,4,5,2.0,4,2.0,0,1,0,0,2,0,2,1,1.09,94
2016,13999,35482,4,5,1.4,4,1.0,0,7,0,0,0,0,12,2,3.48,95
2019,36888,29920,4,5,3.6,6,2.0,0,2,0,0,4,0,4,2,1.75,96
2018,39888,21800,4,5,5.7,8,5.0,0,4,0,0,4,0,7,2,1.91,97
2011,69995,146100,4,5,0.0,4,2.0,0,2,0,0,4,0,13,3,10.59,98
2019,29985,16000,3,2,4.3,6,8.0,0,0,0,0,3,0,10,2,1.17,99
2008,10495,207100,4,5,0.0,4,2.0,0,0,0,0,2,0,11,0,14.63,100
2011,6495,212100,4,5,0.0,4,2.0,0,2,1,1,2,0,8,0,13.34,101
2019,42988,24002,4,5,2.0,4,2.0,0,3,0,0,2,0,3,0,1.5,102
2019,36888,29877,4,5,3.6,6,2.0,0,1,0,0,4,0,4,2,1.74,103
2019,44996,28583,4,7,3.5,6,2.0,0,7,0,0,2,0,3,0,1.69,104
2014,15995,167100,4,5,0.0,4,1.0,0,5,0,0,2,0,18,3,9.96,105
2017,22995,57151,4,5,0.0,4,2.0,0,0,0,0,2,0,8,0,3.88,106
2011,7495,156100,4,4,0.0,4,1.0,0,0,0,0,2,0,8,0,11.0,107
2014,13999,83141,4,5,2.0,4,1.0,0,4,0,0,0,0,2,1,6.46,108
2019,28888,27898,4,5,3.2,6,2.0,0,3,0,0,4,0,4,2,1.66,109
2011,11995,175100,4,5,0.0,4,2.0,0,2,0,0,2,0,20,3,11.8,110
2012,8995,158800,4,5,0.0,4,2.0,0,5,0,0,2,0,8,0,10.62,111
2012,10995,170400,4,5,0.0,4,2.0,0,5,2,0,2,0,20,3,11.1,112
2017,25985,101000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.71,113
2020,33985,10000,3,2,6.0,8,8.0,0,0,0,0,3,0,10,2,0.42,114
2014,21995,101000,4,5,2.1,4,1.0,0,2,0,0,2,2,13,3,7.21,115
2019,36985,6000,3,2,3.7,6,8.0,0,0,0,0,3,1,16,2,0.75,116
2019,28985,23000,3,2,4.3,6,8.0,0,0,0,0,3,0,10,2,1.46,117
2019,35985,13000,4,5,0.0,6,8.0,0,0,0,0,1,0,16,2,1.04,118
2017,26985,95000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.46,119
2019,34995,13464,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,1.06,120
2017,25985,114000,4,5,0.0,6,8.0,0,0,0,0,1,0,16,2,6.25,121
2019,35985,19000,2,2,6.0,8,8.0,0,0,0,0,3,1,10,2,1.29,122
2018,30995,22748,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,1.95,123
2019,29985,14000,3,2,4.3,8,8.0,0,0,0,0,3,1,10,2,1.08,124
2017,26985,98000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.58,125
2019,35985,20000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,1.33,126
2011,15995,182018,2,5,0.0,8,8.0,0,0,0,0,1,0,16,2,12.08,127
2019,29400,13590,4,5,0.0,6,8.0,0,0,0,0,1,0,12,2,1.07,128
2019,29480,7000,4,5,0.0,4,8.0,0,0,0,0,1,0,12,2,0.79,129
2019,29985,20000,4,5,0.0,6,8.0,0,0,0,0,1,0,12,2,1.33,130
2018,29985,48000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,3.0,131
2019,26985,11000,4,5,0.0,4,8.0,0,0,0,0,1,0,12,2,0.96,132
2017,23580,45000,3,2,4.8,8,8.0,0,0,0,0,3,0,12,2,3.38,133
2017,23650,44895,3,2,4.8,8,8.0,0,0,0,0,3,0,12,2,3.37,134
2017,28995,53000,2,2,6.0,8,8.0,0,0,0,0,3,0,10,2,3.71,135
2017,26495,99000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.62,136
2017,28985,47000,4,5,0.0,6,8.0,0,0,0,0,1,0,16,2,3.46,137
2018,25995,30000,3,5,0.0,6,8.0,0,0,0,0,3,0,12,2,2.25,138
2019,35985,21000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,1.38,139
2019,29995,22373,3,2,4.3,6,8.0,0,0,0,0,3,1,10,2,1.43,140
